Client,Warehouse,Product,2023-11-27,2023-12-04,2023-12-11,2023-12-18,2023-12-25,2024-01-01,2024-01-08,2024-01-15,2024-01-22,2024-01-29,2024-02-05,2024-02-12,2024-02-19
0,1,334,9,2,13,3,0,19,13,5,4,3,2,1,3
0,1,478,1,15,0,19,6,2,3,11,17,3,8,18,13
0,1,875,2,4,5,8,16,11,15,10,3,14,16,8,2
0,1,895,18,14,17,10,11,17,4,3,7,12,4,11,17
0,1,1520,8,18,15,11,15,2,8,6,14,17,2,5,15
0,1,1931,1,4,6,12,1,8,0,3,16,1,11,0,1
0,1,2320,11,15,15,14,3,8,11,14,0,10,6,16,1
0,1,2505,1,6,13,12,3,8,14,1,1,6,15,2,1
0,1,2510,6,2,9,2,8,6,12,18,2,7,9,0,4
0,1,2732,6,14,3,14,6,8,4,9,1,19,3,0,13
0,1,3846,17,13,14,6,4,9,19,2,5,17,5,7,14
0,1,4004,4,15,9,6,1,14,15,7,13,17,12,0,5
0,1,4075,12,10,11,12,5,10,11,9,7,11,11,9,6
0,1,4394,11,16,8,18,6,7,4,9,14,12,13,2,19
0,1,4462,11,7,1,11,18,19,9,19,7,0,17,3,11
0,1,5465,17,14,13,12,5,18,0,2,15,12,0,13,15
0,1,5607,6,3,18,3,16,16,17,16,13,14,13,1,13
0,1,6039,17,2,14,19,14,14,12,19,1,7,11,11,11
0,1,6131,14,18,4,13,12,15,6,7,3,19,1,5,15
0,1,6345,17,17,6,13,2,13,9,11,4,13,13,15,10
0,1,6602,16,8,19,15,15,11,3,12,0,8,10,9,15
0,1,6694,8,8,8,10,16,0,13,15,14,13,4,4,5
0,1,6762,3,8,10,2,6,0,13,19,1,10,3,12,8
0,1,7107,7,16,7,17,0,11,1,10,4,6,19,2,8
0,1,7133,18,9,17,12,12,13,6,0,12,1,1,3,18
0,1,7177,18,3,18,2,12,3,13,8,9,16,15,18,19
0,1,7432,0,10,19,6,16,3,0,10,2,9,9,6,4
0,1,7758,16,6,13,1,3,10,6,5,1,6,13,12,13
0,1,8041,8,12,17,8,11,16,13,7,13,4,12,19,14
0,1,8804,12,10,6,1,10,14,9,13,2,9,10,10,12
0,1,8952,15,18,9,19,12,0,12,1,18,8,7,5,14
0,1,9155,2,3,16,14,1,11,5,12,11,2,2,9,1
0,1,9506,3,8,6,13,10,18,10,17,11,5,0,9,4
0,1,9523,3,15,7,15,10,16,4,14,19,1,5,15,3
0,1,9742,15,4,4,3,0,18,0,12,19,6,1,8,8
0,1,10154,7,1,4,11,11,16,2,13,0,11,12,1,13
0,1,10185,15,10,1,18,4,18,12,2,14,13,13,12,4
0,1,10338,1,14,12,0,11,2,6,1,15,7,17,9,3
0,1,10373,13,9,6,1,16,7,7,11,10,12,12,12,15
0,1,10510,3,6,8,19,3,18,15,0,10,13,15,17,2
0,1,10784,2,5,15,14,13,2,16,9,4,14,0,6,13
0,1,10847,16,15,13,6,3,18,11,18,8,8,1,4,6
0,1,10931,4,5,15,4,10,4,6,2,9,19,10,16,13
0,1,10932,1,17,13,9,1,18,7,3,14,3,9,13,18
0,1,11307,16,3,17,17,1,10,4,8,7,13,4,19,7
0,1,11471,5,16,12,13,15,2,6,2,14,17,5,9,7
0,1,12415,15,14,4,4,17,5,17,2,16,8,13,13,8
0,1,13513,6,4,18,14,6,8,9,15,0,7,4,10,9
